Year,st,State,Gini
1928,46,Vermont,0.470364064
1928,47,Virginia,0.485997528
1928,48,Washington,0.424596786
1928,49,West Virginia,0.475173533
1928,50,Wisconsin,0.519121468
1928,51,Wyoming,0.404323071
1929,0,United States,0.566478074
1929,1,Alabama,0.463655859
1929,3,Arizona,0.446041107
1929,4,Arkansas,0.412276387
1929,5,California,0.513885498
1929,6,Colorado,0.491378248
1929,7,Connecticut,0.598133326
1929,8,Delaware,0.726843834
1929,9,District of Columbia,0.491220772
1929,10,Florida,0.545912802
1929,11,Georgia,0.462192506
1929,13,Idaho,0.321197629
1929,14,Illinois,0.557082176
1929,15,Indiana,0.490233839
1929,16,Iowa,0.443893343
1929,17,Kansas,0.433506548
1929,18,Kentucky,0.523451269
1929,19,Louisiana,0.448426485
1929,20,Maine,0.538714528
1929,21,Maryland,0.571213424
1929,22,Massachusetts,0.602971613
1929,23,Michigan,0.566799462
1929,24,Minnesota,0.529773295
1929,25,Mississippi,0.412884176
1929,26,Missouri,0.534362495
1929,27,Montana,0.421966165
1929,28,Nebraska,0.431581318
1929,29,Nevada,0.445505887
1929,30,New Hampshire,0.512349844
1929,31,New Jersey,0.543277502
1929,32,New Mexico,0.398329228
1929,33,New York,0.646377325
1929,34,North Carolina,0.506020248
1929,35,North Dakota,0.376946151
1929,36,Ohio,0.548680484
1929,37,Oklahoma,0.509828448
1929,38,Oregon,0.432204515
1929,39,Pennsylvania,0.576389432
1929,40,Rhode Island,0.595589578
1929,41,South Carolina,0.471439689
1929,42,South Dakota,0.409593523
1929,43,Tennessee,0.491730958
1929,44,Texas,0.461902589
1929,45,Utah,0.465032756
1929,46,Vermont,0.477185845
1929,47,Virginia,0.470129132
1929,48,Washington,0.443093151
1929,49,West Virginia,0.478256017
1929,50,Wisconsin,0.507175386
1929,51,Wyoming,0.387137353
1930,0,United States,0.498643845
1930,1,Alabama,0.434127331
1930,3,Arizona,0.402635366
1930,4,Arkansas,0.388537288
1930,5,California,0.464406818
1930,6,Colorado,0.468462467
1930,7,Connecticut,0.530675054
1930,8,Delaware,0.648764491
1930,9,District of Columbia,0.439555526
1930,10,Florida,0.48578617
1930,11,Georgia,0.427802652
1930,13,Idaho,0.331438392
1930,14,Illinois,0.500133216
1930,15,Indiana,0.460371166
1930,16,Iowa,0.421733707
1930,17,Kansas,0.430281848
1930,18,Kentucky,0.448963791
1930,19,Louisiana,0.409362108
1930,20,Maine,0.483662814
1930,21,Maryland,0.497601509
1930,22,Massachusetts,0.522456825
1930,23,Michigan,0.501393795
1930,24,Minnesota,0.472060025
1930,25,Mississippi,0.395431668
1930,26,Missouri,0.493093312
1930,27,Montana,0.381693929
1930,28,Nebraska,0.415691018
1930,29,Nevada,0.457255006
1930,30,New Hampshire,0.466470689
1930,31,New Jersey,0.473788291
1930,32,New Mexico,0.381072581
1930,33,New York,0.54969877
1930,34,North Carolina,0.488502413
1930,35,North Dakota,0.355182439
1930,36,Ohio,0.494789898
1930,37,Oklahoma,0.475662589
1930,38,Oregon,0.399386108
1930,39,Pennsylvania,0.515759826
1930,40,Rhode Island,0.529034436
1930,41,South Carolina,0.400289297
1930,42,South Dakota,0.37942487
1930,43,Tennessee,0.433192939
1930,44,Texas,0.439161152
1930,45,Utah,0.436204314
1930,46,Vermont,0.435151458
